,,,,Assembly Statisitcs of Stacks Per Individual (ustacks),,,After Genotype Calling with gstacks,,
Sample,No. Reads,In Catalog (for Genotyping),POP,Average Coverage,Standard Deviation,No. of Reads Used,Number of loci,Mean Coverage,Mean Coverage ns
MDC_f_144,3491288,y,MDC,53.85,188.32, 1428296(40.9%),23358,45.705,47.165
MDC_f_146,2823133,y,MDC,64.6,197.79, 1155219(40.9%),15678,53.92,52.986
MDC_m_140,1750868,n,MDC,78.76,193.98, 876127(50.0%),8896,60.919,57.791
MDC_m_141,3675988,y,MDC,50.44,182.7, 1434632(39.0%),25156,42.306,45.035
MDC_m_143,3264423,y,MDC,49.5,174.36, 1355402(41.5%),24165,41.921,43.929
MDC_m_145,3276452,y,MDC,53.34,184.17, 1305359(39.8%),21616,45.335,46.299
MLG_f_003,3331468,y,MLG,44.93,163.27, 1330734(39.9%),26341,38.747,41.392
MLG_f_005,3269479,y,MLG,53.71,182.14, 1322214(40.4%),21862,45.853,46.039
MLG_f_008,2944072,n,MLG,53.13,181.42, 1373732(46.7%),21149,43.468,46.552
MLG_f_010,3277359,y,MLG,57.57,190.14, 1343152(41.0%),20687,50.813,51.63
MLG_f_011,3511746,y,MLG,53.3,183.08, 1387321(39.5%),23160,45.77,48.401
MLG_m_001,3364196,y,MLG,47.52,169.04, 1451538(43.1%),27267,41.282,45.076
MLG_m_002,2901880,n,MLG,49.48,167.43, 1273448(43.9%),21108,40.454,43.289
MLG_m_004,2581961,n,MLG,48.66,164.76, 1110997(43.0%),18898,39.913,41.15
MLG_m_006,4754478,n,MLG,41.36,157.36, 1444616(30.4%),28083,35.056,40.874
MLG_m_007,3078368,y,MLG,54.91,183.7, 1372169(44.6%),22261,47.147,48.693
MLG_m_009,3157171,y,MLG,50.16,173.76, 1344150(42.6%),23852,43.522,46.13
MLG_m_012,3134956,y,MLG,57.55,192.04, 1296623(41.4%),20106,49.072,49.408
MLG_m_013,3484557,y,MLG,52.91,183.06, 1363605(39.1%),23021,46.376,47.572
MLG_m_014,2858870,n,MLG,55.4,184.75, 1194456(41.8%),17927,45.411,48.171
MLG_m_016,2214552,n,MLG,71.4,200.21, 1068911(48.3%),12372,57.848,57.204
MLG_m_017,3695528,y,MLG,55.43,192.61, 1524083(41.2%),24555,47.303,49.554
MMS_f_206,3707087,y,MMS,33.52,104.64, 1885075(50.9%),49792,30.187,39.427
MMS_f_211,2202122,n,MMS,29.2,89.98, 1081684(49.1%),29423,25.469,28.091
MMS_f_215,3840292,y,MMS,36.92,113.55, 1933486(50.3%),46662,33.513,44.056
MMS_f_217,2707625,n,MMS,30.72,92.05, 1344134(49.6%),34182,28.088,32.754
MMS_f_221,4208537,y,MMS,35.72,104.23, 2149741(51.1%),53530,32.706,44.933
MMS_f_222,3952532,y,MMS,32.63,96.17, 1968865(49.8%),53786,29.729,40.937
MMS_m_207,3517181,y,MMS,34.73,109.29, 1836941(52.2%),47114,31.288,39.817
MMS_m_208,6585205,n,MMS,39.8,105.73, 3123181(47.4%),55106,40.259,59.795
MMS_m_209,3346988,y,MMS,33.87,102.05, 1753505(52.4%),46091,30.434,38.806
MMS_m_210,3233531,y,MMS,34.83,103.98, 1678764(51.9%),42980,31.288,38.569
MMS_m_212,3408275,y,MMS,34.06,109.98, 1801319(52.9%),47013,30.573,38.573
MMS_m_213,2318554,n,MMS,31.13,94.72, 1241729(53.6%),31592,27.691,31.257
MMS_m_214,3178148,y,MMS,30.59,87.25, 1651822(52.0%),48380,27.503,36.358
MMS_m_220,4093188,y,MMS,35.24,108.45, 2039613(49.8%),51734,31.893,42.279
OBN_f_111,2630822,y,OBN,64.41,196.32, 1209675(46.0%),16668,55.712,54.689
OBN_f_121,2690338,y,OBN,60.94,185.86, 1177813(43.8%),17174,51.939,50.533
OBN_m_110,2681431,y,OBN,47.36,159.57, 1284679(47.9%),24400,41.232,42.901
OBN_m_112,2751978,y,OBN,63.41,197.95, 1272679(46.2%),17922,53.378,53.554
OBN_m_113,3194428,y,OBN,64.07,207.61, 1391156(43.5%),19384,55.408,57.214
OBN_m_114,227420,n/a,OBN,n/a,n/a,n/a,n/a,n/a,n/a
OBN_m_115,2830379,y,OBN,61.76,197.96, 1348164(47.6%),19528,53.058,52.789
OBN_m_116,3026011,y,OBN,44.43,160.46, 1329775(43.9%),26889,38.571,40.281
OBN_m_117,2249328,y,OBN,60,180.73, 1145652(50.9%),17094,51.469,50.484
OBN_m_118,1753843,n,OBN,32.88,112.75, 858594(49.0%),21070,27.196,28.32
OBN_m_119,2786199,y,OBN,51.81,171.04, 1253529(45.0%),21681,45.31,46.035
OBN_m_120,3188535,y,OBN,63.35,203.53, 1375248(43.1%),19390,55.999,55.178
OBN_m_122,1963010,n,OBN,63.4,179.44, 969701(49.4%),12666,51.843,50.749
OBN_m_123,1680297,n,OBN,63.39,171.31, 833328(49.6%),10703,48.318,46.349
OBN_m_124,754559,n,OBN,69.41,137.52, 393118(52.1%),4435,57.926,51.422
PCP_m_161,1798002,y,PCP,34.68,94.93, 897699(49.9%),23056,30.439,30.761
PCP_f_175,3534243,y,PCP,32.62,98.96, 1772238(50.1%),48607,29.29,37.559
PCP_m_156,3363460,y,PCP,32.67,106.51, 1705822(50.7%),46605,29.284,36.805
PCP_m_157,2928578,y,PCP,31.7,101.07, 1523220(52.0%),42934,28.383,33.733
PCP_m_158,3130749,y,PCP,30.38,96.42, 1614384(51.6%),47546,27.636,34.283
PCP_m_159,3436320,y,PCP,34.03,114.25, 1757627(51.1%),46303,30.664,38.421
PCP_m_160,2575990,y,PCP,33.15,111.19, 1289258(50.0%),34877,28.995,32.29
PCP_m_162,1826962,y,PCP,31.34,93.84, 824280(45.1%),23387,27.353,27.141
PCP_m_172,2959900,y,PCP,37.35,110.05, 1551248(52.4%),37410,33.26,39.659
PCP_m_173,1373989,n,PCP,28.97,75.26, 696769(50.7%),18512,24.95,25.12
PCP_m_174,781039,n,PCP,35.39,76.64, 390583(50.0%),8710,28.457,26.807
PCP_m_176,1701200,n,PCP,29.14,87.69, 877375(51.6%),24461,25.025,26.102
